path_key,phase_count,phase_annual_return_mean,phase_annual_return_min,phase_annual_return_max,phase_annual_return_std,phase_sharpe_mean,phase_sharpe_min,phase_sharpe_max,phase_sharpe_std
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,1,-0.07093870481008624,-0.07093870481008624,-0.07093870481008624,0.0,-0.9665246066612322,-0.9665246066612322,-0.9665246066612322,0.0
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,3,-0.052099347885485536,-0.055654776552134244,-0.050152186661419296,0.0025178717205214733,-0.6952393586793989,-0.7432126482535547,-0.6675618248724691,0.03405583695620293
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,3,-0.03152263937112713,-0.03535697595593856,-0.02695033959677884,0.0034714383158013073,-0.4121273768902147,-0.4662775729410579,-0.3484557222267259,0.048569474343609614
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,3,-0.015740569484246365,-0.020900570961205456,-0.007490815715914478,0.005894365153895417,-0.19142685155728975,-0.25687231429333035,-0.09133136778028654,0.07188610997827499
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,1,-0.05559835871432539,-0.05559835871432539,-0.05559835871432539,0.0,-0.8260786637875472,-0.8260786637875472,-0.8260786637875472,0.0
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,3,-0.03729646894382029,-0.040394502161758994,-0.03458918201815475,0.002386063353605434,-0.535905246838022,-0.5809999959328832,-0.4954171401264305,0.035090570124868985
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r21|ensemble,3,-0.01513762977298135,-0.016839445647808038,-0.012518678820066964,0.001879380936819553,-0.19932027005945532,-0.22426357564137897,-0.16044096783210005,0.027856660708830715
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r63|ensemble,3,-0.0016647437799624705,-0.002943591217501318,-0.0005042373045017756,0.0009993715744392344,0.00565193683787234,-0.012436665353419878,0.020618666400995248,0.013674143626530957
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r1|ensemble,1,0.1002787347977927,0.1002787347977927,0.1002787347977927,0.0,0.5441358411757072,0.5441358411757072,0.5441358411757072,0.0
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r5|ensemble,3,0.11446287285814034,0.11081647420646434,0.1173975717547786,0.00273344698638887,0.6057986337374629,0.589046027920095,0.6179608484338271,0.012242561804845103
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r21|ensemble,3,0.10711821753249968,0.0975626372269105,0.11909886577724293,0.008957789940425155,0.5828331097746037,0.5423173146352723,0.633516235450272,0.037919579350088564
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r63|ensemble,3,0.12477887058907007,0.1187627118272161,0.13017783017336448,0.004680593468975812,0.6717211834170288,0.6343701714577272,0.719334966419636,0.03543771482329042
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r1|ensemble,1,0.10211606397515238,0.10211606397515238,0.10211606397515238,0.0,0.5986293717564075,0.5986293717564075,0.5986293717564075,0.0
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r5|ensemble,3,0.11333001679087795,0.10358718061161643,0.12141361328562139,0.00737157752082134,0.6512879776252704,0.6061360915690504,0.6876060680336914,0.03384145609010342
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r21|ensemble,3,0.1267578450016129,0.12296623919433203,0.13406054965133785,0.0051650616285555985,0.7127416105922797,0.6944754325711726,0.7456458369331588,0.023313900211408663
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r63|ensemble,3,0.14116028693327073,0.1333332416932702,0.1474157753839891,0.005855583195777752,0.7834327538742666,0.7457353513386114,0.8099027982154519,0.027372802666067855
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r1|ensemble,1,-0.10769283870648794,-0.10769283870648794,-0.10769283870648794,0.0,-1.3655271585588993,-1.3655271585588993,-1.3655271585588993,0.0
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r5|ensemble,3,-0.0773562427855465,-0.08092051385741938,-0.07151030601978392,0.004166733464068213,-0.9379949688223044,-0.9964393302921448,-0.8439443086011663,0.06715424679153705
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r21|ensemble,3,-0.025411837640583263,-0.04172510573747257,-0.012693856093063394,0.01212154907614423,-0.2794870280905702,-0.4790378836467772,-0.12035833469003583,0.1491938741033681
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r63|ensemble,3,-0.01700354839650235,-0.021148329299948365,-0.012563248778276748,0.003511068249026696,-0.16922125704013732,-0.20665196961132723,-0.1446457488973562,0.026896530909884482
liquidity_change|liq_20d_252d|middle_minus_q1|beta_neutral|r1|ensemble,1,-0.08580632948670552,-0.08580632948670552,-0.08580632948670552,0.0,-1.261941076881086,-1.261941076881086,-1.261941076881086,0.0
liquidity_change|liq_20d_252d|middle_minus_q1|beta_neutral|r5|ensemble,3,-0.053018614239013696,-0.05707406418124339,-0.04798345277793159,0.003775330441752502,-0.7289487151508168,-0.7974034649206575,-0.6422291842395629,0.06465274430283467
liquidity_change|liq_20d_252d|middle_minus_q1|beta_neutral|r21|ensemble,3,-0.002496837592437425,-0.01586718160963163,0.008697910730339542,0.010145963167256973,0.0002086323029775461,-0.18945535487266654,0.15990425016909374,0.144191101847601
