factor_key,final_status,validated_alpha,best_method,best_beta_neutral,best_rebalance_days,evaluated_path_key,best_net_annualized_return,best_net_sharpe,best_alpha_hac_tstat,best_long_wf_sharpe,best_long_wf_positive_rate,best_short_wf_sharpe,decision_reason,validation_limit
volatility_scaled_momentum|vsmom_12m_1m_vol60,STATISTICAL_LEAD,False,middle_minus_q1,True,63,volatility_scaled_momentum|vsmom_12m_1m_vol60|middle_minus_q1|beta_neutral|r63|ensemble,0.0232797194414617,0.2676436689356161,1.3171010552926667,-0.0075885861997135,0.5,0.2695123521512079,Rank signal survived global FDR but did not meet the economic implementation rule.,Post-selection history; no untouched final sample.
short_term_reversal|reversal_5d,REJECTED,False,q10_minus_q1,True,21,short_term_reversal|reversal_5d|q10_minus_q1|beta_neutral|r21|ensemble,0.0053024375271428,0.1033508861969038,0.2608991190809708,-0.1521459377404599,0.4166666666666667,-0.0179140056929748,Did not meet the declared statistical or economic rule.,Post-selection history; no untouched final sample.
liquidity_change|liq_20d_252d,REJECTED,False,q10_minus_q1,True,63,liquidity_change|liq_20d_252d|q10_minus_q1|beta_neutral|r63|ensemble,0.0172958240644027,0.2218291191697726,0.8715262239213035,0.0252161942239054,0.5,0.0119180035746342,Did not meet the declared statistical or economic rule.,Post-selection history; no untouched final sample.
low_volatility|60d,ECONOMIC_LEAD,False,q10_minus_middle,True,63,low_volatility|60d|q10_minus_middle|beta_neutral|r63|ensemble,0.0477268678139177,0.5049863940695578,1.6032537429326152,0.4316561896314616,0.8333333333333334,0.2827932802181776,Positive net market-neutral implementation and coherent long walk-forward behaviour.,Post-selection history; no untouched final sample.
