path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,transaction_cost_bps,sharpe_basis,observations,annualized_return,annualized_volatility,sharpe,maximum_drawdown,positive_month_rate,positive_year_rate,annualized_alpha,alpha_hac_tstat,regression_beta,average_estimated_beta,maximum_absolute_estimated_beta,average_gross_exposure,average_net_exposure,annualized_turnover,annualized_cost_drag,unpriced_weight_days,maximum_unpriced_weight,average_maximum_sector_exposure,maximum_sector_exposure,average_unknown_sector_weight,average_holding_count,minimum_holding_count,maximum_position_weight
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,0,self_financing_spread_return,4181,-0.017770736589865943,0.07333845092906432,-0.2076263661272447,-0.3207594327538805,0.46,0.4117647058823529,0.003460818960803906,0.2166392023540029,-0.12574169218796988,-0.04655593776892617,0.41224781179171355,2.0,-1.2555066343711595e-18,55.64355354394387,0.0,0,0.0,,,,418.3075819182014,335.0,0.011940191473340744
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,5,self_financing_spread_return,4181,-0.04472299975762406,0.0733291159971885,-0.5870421050192056,-0.5634102561729555,0.395,0.23529411764705882,-0.024361798778080517,-1.5245129184965398,-0.1257259797810769,-0.04655593776892617,0.41224781179171355,2.0,-1.2555066343711595e-18,55.64355354394387,0.027821776771971934,0,0.0,,,,418.3075819182014,335.0,0.011940191473340744
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,10,self_financing_spread_return,4181,-0.07093870481008624,0.07332204547732811,-0.9665246066612322,-0.7196806983949698,0.355,0.17647058823529413,-0.05218441651696533,-3.2643452785338423,-0.12571026737418398,-0.04655593776892617,0.41224781179171355,2.0,-1.2555066343711595e-18,55.64355354394387,0.05564355354394387,0,0.0,,,,418.3075819182014,335.0,0.011940191473340744
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,25,self_financing_spread_return,4181,-0.14536423615924154,0.07331442589221765,-2.105021036959465,-0.9264973236174835,0.24,0.0,-0.13565226973361857,-8.472333277094966,-0.12566313015350541,-0.04655593776892617,0.41224781179171355,2.0,-1.2555066343711595e-18,55.64355354394387,0.13910888385985964,0,0.0,,,,418.3075819182014,335.0,0.011940191473340744
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,0,self_financing_spread_return,4181,-0.014475277741434533,0.07250446542266882,-0.16468782220362993,-0.27981745731679,0.49,0.4117647058823529,0.005082454980594679,0.3201717505693377,-0.11454030620083676,-0.047211867095543134,0.39429446263931406,2.0017695675668388,-0.00022939929776296918,38.882410638711136,0.0,6,0.01316925749304291,,,,418.00374710994174,111.66666666666667,0.016196720010999376
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,5,self_financing_spread_return,4181,-0.03345125761022083,0.07250752529123136,-0.4327933969387522,-0.4663651646245225,0.45,0.23529411764705882,-0.014341054360785198,-0.9036293083826369,-0.11465244620198607,-0.047211867095543134,0.39429446263931406,2.0017695675668388,-0.00022939929776296918,38.882410638711136,0.019441205319355566,6,0.01316925749304291,,,,418.00374710994174,111.66666666666667,0.016196720010999376
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,10,self_financing_spread_return,4181,-0.05206428358965609,0.07252514249194122,-0.7007356634146226,-0.6086610283702176,0.375,0.23529411764705882,-0.03376456370216433,-2.127825631756516,-0.11476458620313519,-0.047211867095543134,0.39429446263931406,2.0017695675668388,-0.00022939929776296918,38.882410638711136,0.03888241063871113,6,0.01316925749304291,,,,418.00374710994174,111.66666666666667,0.016196720010999376
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,25,self_financing_spread_return,4181,-0.10579394882864579,0.07266518846220213,-1.501977537522682,-0.8460647474458486,0.285,0.058823529411764705,-0.09203509172630306,-5.799901044583824,-0.1151010062065832,-0.047211867095543134,0.39429446263931406,2.0017695675668388,-0.00022939929776296918,38.882410638711136,0.09720602659677784,6,0.01316925749304291,,,,418.00374710994174,111.66666666666667,0.016196720010999376
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,0,self_financing_spread_return,4181,-0.007348126877519179,0.0690492070185408,-0.07214483983673602,-0.21897250968623394,0.52,0.35294117647058826,0.007748255748308205,0.5061074148083451,-0.08565295392187158,-0.04892054661528083,0.41948541440749043,2.0052906472826693,-0.00023963674030987817,24.490523367699208,0.0,8,0.014830269482343943,,,,416.8053097345133,111.66666666666667,0.01916063341645764
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,5,self_financing_spread_return,4181,-0.019431339866911812,0.06908259824426666,-0.24935141032974656,-0.35265770970343147,0.505,0.29411764705882354,-0.004487435142665042,-0.29290933219439935,-0.08571087607394115,-0.04892054661528083,0.41948541440749043,2.0052906472826693,-0.00023963674030987817,24.490523367699208,0.012245261683849604,8,0.014830269482343943,,,,416.8053097345133,111.66666666666667,0.01916063341645764
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,10,self_financing_spread_return,4181,-0.03137152095372042,0.06916784996601491,-0.4260670620263011,-0.4646099608287846,0.485,0.29411764705882354,-0.0167231260336382,-1.0899765728825845,-0.08576879822601062,-0.04892054661528083,0.41948541440749043,2.0052906472826693,-0.00023963674030987817,24.490523367699208,0.024490523367699208,8,0.014830269482343943,,,,416.8053097345133,111.66666666666667,0.01916063341645764
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,25,self_financing_spread_return,4181,-0.06635023236928839,0.06973228754218516,-0.9493886249232872,-0.6973157354940338,0.375,0.11764705882352941,-0.053430198706557575,-3.4516536988348667,-0.08594256468221922,-0.04892054661528083,0.41948541440749043,2.0052906472826693,-0.00023963674030987817,24.490523367699208,0.06122630841924802,8,0.014830269482343943,,,,416.8053097345133,111.66666666666667,0.01916063341645764
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,0,self_financing_spread_return,4181,-0.00643386057362616,0.06274803174368675,-0.07143379406337574,-0.21864114742343554,0.48,0.47058823529411764,0.005514726605645285,0.38477666381876713,-0.06726558508864935,-0.059601174478066545,0.4057200047922685,2.021705941278415,-0.0004098802377308586,9.02602460880018,0.0,4,0.008163278168518565,,,,413.81974009407634,111.66666666666667,0.022649260263683677
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,5,self_financing_spread_return,4181,-0.010908570937247508,0.062767618883906,-0.14330297508961512,-0.2654453186318648,0.48,0.47058823529411764,0.001005516134874883,0.07016359334090612,-0.06728742644516825,-0.059601174478066545,0.4057200047922685,2.021705941278415,-0.0004098802377308586,9.02602460880018,0.00451301230440009,4,0.008163278168518565,,,,413.81974009407634,111.66666666666667,0.022649260263683677
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,10,self_financing_spread_return,4181,-0.015364796043185858,0.06281285755022625,-0.2150394616651279,-0.31179442272650215,0.465,0.29411764705882354,-0.0035036943358955535,-0.2443489838342058,-0.06730926780168714,-0.059601174478066545,0.4057200047922685,2.021705941278415,-0.0004098802377308586,9.02602460880018,0.00902602460880018,4,0.008163278168518565,,,,413.81974009407634,111.66666666666667,0.022649260263683677
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,25,self_financing_spread_return,4181,-0.028623253469569176,0.06310177459597603,-0.4285871972712473,-0.4388116168795386,0.445,0.23529411764705882,-0.01703132574820672,-1.1813340991935681,-0.06737479187124375,-0.059601174478066545,0.4057200047922685,2.021705941278415,-0.0004098802377308586,9.02602460880018,0.022565061522000447,4,0.008163278168518565,,,,413.81974009407634,111.66666666666667,0.022649260263683677
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,0,self_financing_spread_return,4181,-0.001472298705164854,0.06656487287154088,0.011299810708920185,-0.20235863279417876,0.48,0.47058823529411764,0.006726411371659277,0.44956253576257393,-0.040197912937658675,-5.707036931849074e-19,6.036837696399289e-16,2.0,0.04590437139907518,55.72385502552808,0.0,0,0.0,,,,418.3075819182014,335.0,0.01427225786266247
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,5,self_financing_spread_return,4181,-0.028910784872787088,0.06655431512869026,-0.40733865271945885,-0.4342969139598284,0.42,0.17647058823529413,-0.021136971258336527,-1.4123971875596495,-0.04019073284979215,-5.707036931849074e-19,6.036837696399289e-16,2.0,0.04590437139907518,55.72385502552808,0.027861927512764045,0,0.0,,,,418.3075819182014,335.0,0.01427225786266247
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,10,self_financing_spread_return,4181,-0.05559835871432539,0.06654627820265784,-0.8260786637875472,-0.6369958377948575,0.34,0.11764705882352941,-0.04900035388833246,-3.2732964178957524,-0.04018355276192574,-5.707036931849074e-19,6.036837696399289e-16,2.0,0.04590437139907518,55.72385502552808,0.05572385502552809,0,0.0,,,,418.3075819182014,335.0,0.01427225786266247
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,25,self_financing_spread_return,4181,-0.13135750797015555,0.06653730002747796,-2.082432065652826,-0.9041667533272844,0.23,0.058823529411764705,-0.13259050177832052,-8.845107801874159,-0.04016201249832639,-5.707036931849074e-19,6.036837696399289e-16,2.0,0.04590437139907518,55.72385502552808,0.1393096375638202,0,0.0,,,,418.3075819182014,335.0,0.01427225786266247
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0,0,self_financing_spread_return,4181,0.0010263292757086706,0.06618134601349009,0.048721369762379535,-0.17290338048241427,0.495,0.5882352941176471,0.008111179302950577,0.5424683829656582,-0.03288057674420692,-0.0004001638355147641,0.11184564316078083,2.0014187650739834,0.04584867068198484,38.99764031000627,0.0,6,0.012965910076114659,,,,418.00374710994174,111.66666666666667,0.015668413403449023
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0,5,self_financing_spread_return,4181,-0.018304699021439164,0.0661805834460631,-0.24591587810281113,-0.32074325372878376,0.45,0.35294117647058826,-0.01137043364369055,-0.7607184893132369,-0.03299959905039324,-0.0004001638355147641,0.11184564316078083,2.0014187650739834,0.04584867068198484,38.99764031000627,0.019498820155003132,6,0.012965910076114659,,,,418.00374710994174,111.66666666666667,0.015668413403449023
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0,10,self_financing_spread_return,4181,-0.03726489785740339,0.06619587977178451,-0.5404287779967645,-0.49951758048039185,0.38,0.17647058823529413,-0.030852046590332614,-2.0646595931380833,-0.0331186213565796,-0.0004001638355147641,0.11184564316078083,2.0014187650739834,0.04584867068198484,38.99764031000627,0.038997640310006264,6,0.012965910076114659,,,,418.00374710994174,111.66666666666667,0.015668413403449023
