walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,complete_oos_periods,positive_oos_period_rate,median_oos_annualized_return,worst_oos_annualized_return,best_oos_annualized_return,median_oos_sharpe,stitched_oos_annualized_return,stitched_oos_sharpe,orientation_positive_rate,orientation_changes,post_selection_oos_warning,regime_variable,regime_state,observations,mean_daily_return,annualized_return_approx,sharpe,positive_day_rate
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,volatility_state,high_volatility,1301,-0.0002505940949489172,-0.06314971192712714,-0.2655550381905963,0.47501921598770175
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,volatility_state,low_volatility,2469,8.251465635421706e-05,0.0207936934012627,0.16044795879436788,0.5192385581206966
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,dispersion_state,high_dispersion,1978,7.803911976351691e-05,0.01966585818040626,0.09251619158575525,0.5010111223458038
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,dispersion_state,low_dispersion,1792,-0.00015438371087177222,-0.0389046951396866,-0.32510611072978796,0.5072544642857143
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,correlation_state,high_correlation,1145,-0.00037202040715647036,-0.09374914260343054,-0.38835512454198373,0.4794759825327511
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,correlation_state,low_correlation,2625,0.00011568348007778254,0.0291522369796012,0.21492342970981074,0.5146666666666667
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,risk_free_state,above_2pct,1260,9.731670320639649e-05,0.024523809208011914,0.1465885364478489,0.5023809523809524
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,risk_free_state,at_or_below_2pct,2510,-5.262839209141912e-05,-0.013262354807037618,-0.07669787652231465,0.5103585657370517
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,volatility_state,high_volatility,1301,-0.00018174202045580131,-0.045798989154861934,-0.19926353269457403,0.4765564950038432
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,volatility_state,low_volatility,2469,9.192715694758813e-05,0.02316564355079221,0.17849440127636135,0.524098825435399
