path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,
low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0
low_volatility|120d|continuous_high_minus_low|beta_neutral|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0
low_volatility|120d|continuous_high_minus_low|beta_neutral|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,21,ensemble,3,199.33333333333334,0.0,199.33333333333334,1.0
low_volatility|120d|continuous_high_minus_low|beta_neutral|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,63,ensemble,3,66.33333333333333,0.0,66.33333333333333,1.0
low_volatility|120d|long_q1|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,1,ensemble,1,4181.0,0.0,0.0,
low_volatility|120d|long_q1|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,5,ensemble,3,836.3333333333334,0.0,0.0,
low_volatility|120d|long_q1|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,21,ensemble,3,199.33333333333334,0.0,0.0,
low_volatility|120d|long_q1|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,63,ensemble,3,66.33333333333333,0.0,0.0,
low_volatility|120d|long_q10|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,1,ensemble,1,4181.0,0.0,0.0,
low_volatility|120d|long_q10|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,5,ensemble,3,836.3333333333334,0.0,0.0,
low_volatility|120d|long_q10|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,21,ensemble,3,199.33333333333334,0.0,0.0,
low_volatility|120d|long_q10|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,63,ensemble,3,66.33333333333333,0.0,0.0,
