path_key,phase_count,phase_annual_return_mean,phase_annual_return_min,phase_annual_return_max,phase_annual_return_std,phase_sharpe_mean,phase_sharpe_min,phase_sharpe_max,phase_sharpe_std
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,1,-0.08074185862504457,-0.08074185862504457,-0.08074185862504457,0.0,-0.39791991844339003,-0.39791991844339003,-0.39791991844339003,0.0
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,3,-0.07461603259324134,-0.07942129015682065,-0.06750495039043436,0.005130783488392515,-0.3615855722534336,-0.3917414589467314,-0.3182766317277135,0.03140087396256128
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,3,-0.06692179337246484,-0.06973560121176703,-0.06368209524223878,0.0024896144997041828,-0.3222627970924135,-0.3423403347499895,-0.2943435372935251,0.020364063054400177
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,3,-0.06347019851968938,-0.07078748152464975,-0.05648850959931562,0.005842352098974099,-0.2953547267210621,-0.3300431338012375,-0.2769394260299818,0.024543993677025963
low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,1,0.0258747574580942,0.0258747574580942,0.0258747574580942,0.0,0.267151645398941,0.267151645398941,0.267151645398941,0.0
low_volatility|120d|continuous_high_minus_low|beta_neutral|r5|ensemble,3,0.031420965754986506,0.02919060401912943,0.03465814470391093,0.0023428986263930667,0.31000164763171273,0.2921151174371359,0.3350644619328273,0.018253508125575992
low_volatility|120d|continuous_high_minus_low|beta_neutral|r21|ensemble,3,0.03369337649123142,0.03188330258204064,0.037278999752832886,0.002535457699227545,0.32721285019000607,0.3102279726159312,0.35784931960677085,0.021705953748300425
low_volatility|120d|continuous_high_minus_low|beta_neutral|r63|ensemble,3,0.03235621307821934,0.029720029659512148,0.03607888830630479,0.0027072888235720144,0.31053797674223005,0.28843564928159243,0.3441633117063508,0.02416578664525466
low_volatility|120d|long_q1|unconstrained_beta|r1|ensemble,1,0.1613507142565056,0.1613507142565056,0.1613507142565056,0.0,0.6365949224573514,0.6365949224573514,0.6365949224573514,0.0
low_volatility|120d|long_q1|unconstrained_beta|r5|ensemble,3,0.16569173552196262,0.16015062030517835,0.17028522378031918,0.004191343821006847,0.6511444831006027,0.6357034961043578,0.6637786210946909,0.011632195602332538
low_volatility|120d|long_q1|unconstrained_beta|r21|ensemble,3,0.16208553549670102,0.16182825129315148,0.16237339205842494,0.00022360026133554987,0.647546602183607,0.644869188478524,0.6494559394157909,0.0019497054719957736
low_volatility|120d|long_q1|unconstrained_beta|r63|ensemble,3,0.16412321613173,0.15883273745686877,0.17248094157657023,0.005979095304153121,0.6658097780796864,0.6488424664306072,0.6866447492121569,0.01567316684195554
low_volatility|120d|long_q10|unconstrained_beta|r1|ensemble,1,0.10742324610958431,0.10742324610958431,0.10742324610958431,0.0,0.846288486579098,0.846288486579098,0.846288486579098,0.0
low_volatility|120d|long_q10|unconstrained_beta|r5|ensemble,3,0.11222707438085393,0.11019134532077124,0.11537448823049634,0.0022573029495635204,0.8754794672504369,0.8646009089813496,0.8939775350319344,0.013147603924575178
low_volatility|120d|long_q10|unconstrained_beta|r21|ensemble,3,0.11360235713913676,0.1117840460930053,0.11563581707805115,0.0015798210267536775,0.8700603505998418,0.8564243574678672,0.8793282186245812,0.00984740580680526
low_volatility|120d|long_q10|unconstrained_beta|r63|ensemble,3,0.11348563843908839,0.11234728458621479,0.11568189094982118,0.001553332348592585,0.8513939398123155,0.8474588541160251,0.8574057696476977,0.004318173364822704
low_volatility|120d|middle_minus_q1|unconstrained_beta|r1|ensemble,1,-0.11132249853858522,-0.11132249853858522,-0.11132249853858522,0.0,-0.5347848525499881,-0.5347848525499881,-0.5347848525499881,0.0
low_volatility|120d|middle_minus_q1|unconstrained_beta|r5|ensemble,3,-0.10126381024959641,-0.10939809682931123,-0.08664744332513952,0.010357318923141219,-0.4732279815373368,-0.5159545098985744,-0.3918533725387458,0.057564622678715226
low_volatility|120d|middle_minus_q1|unconstrained_beta|r21|ensemble,3,-0.08294086230557485,-0.08832720090527113,-0.07563406354456592,0.0053569306782786435,-0.374467674134189,-0.4162516232547278,-0.31171620634767866,0.04517846814754821
low_volatility|120d|middle_minus_q1|unconstrained_beta|r63|ensemble,3,-0.07381392726152336,-0.08225070499171472,-0.06508134087089334,0.007012483780184686,-0.2920885621642677,-0.32516713633325206,-0.26539330372037534,0.024816497282287922
low_volatility|120d|middle_minus_q1|beta_neutral|r1|ensemble,1,-0.02658420088476876,-0.02658420088476876,-0.02658420088476876,0.0,-0.135864235642618,-0.135864235642618,-0.135864235642618,0.0
low_volatility|120d|middle_minus_q1|beta_neutral|r5|ensemble,3,-0.01673832782476814,-0.023833703546028095,-0.007673606996120741,0.006742695812980396,-0.06039764270961722,-0.11407808737785362,0.008265576404982726,0.05105784735333625
low_volatility|120d|middle_minus_q1|beta_neutral|r21|ensemble,3,-0.0027905326835241016,-0.006002142240132513,0.00015493729066418105,0.002520652004956519,0.043996850662598806,0.018342753945195123,0.06863704228603332,0.02054507017238808
low_volatility|120d|middle_minus_q1|beta_neutral|r63|ensemble,3,0.004656792459609556,0.0017836773925543614,0.009157206661617234,0.0032226604254243663,0.10309125714651024,0.08213723652957229,0.135250753514987,0.023085831683144643
low_volatility|120d|q10_minus_middle|unconstrained_beta|r1|ensemble,1,-0.051574261258280574,-0.051574261258280574,-0.051574261258280574,0.0,-0.3950988447065342,-0.3950988447065342,-0.3950988447065342,0.0
low_volatility|120d|q10_minus_middle|unconstrained_beta|r5|ensemble,3,-0.0394472160796544,-0.04364404791737786,-0.035227670566640557,0.003436009202624935,-0.28725212964703467,-0.32560060311576755,-0.2504951860397826,0.030682303738087655
low_volatility|120d|q10_minus_middle|unconstrained_beta|r21|ensemble,3,-0.03267695043281341,-0.03496317799603921,-0.029279933973156536,0.002449517589953016,-0.23274503979650493,-0.2562128659890302,-0.20125136441111055,0.023144507705211967
low_volatility|120d|q10_minus_middle|unconstrained_beta|r63|ensemble,3,-0.030260087452602374,-0.0340201501654156,-0.027699187960347094,0.002716263993261123,-0.21259839173866493,-0.2418340530472459,-0.19617107977408385,0.020725461663130437
low_volatility|120d|q10_minus_middle|beta_neutral|r1|ensemble,1,0.026144739043556964,0.026144739043556964,0.026144739043556964,0.0,0.2900051873284193,0.2900051873284193,0.2900051873284193,0.0
low_volatility|120d|q10_minus_middle|beta_neutral|r5|ensemble,3,0.038228659453711934,0.03554460504574575,0.042494685711984115,0.0030499050824766664,0.39344441886003695,0.37334308645279096,0.42750346818175244,0.024213634359661347
low_volatility|120d|q10_minus_middle|beta_neutral|r21|ensemble,3,0.03807851551927732,0.03648307094852177,0.03975825908103525,0.0013384179879624813,0.38369322339321804,0.35872787493853325,0.40663344628140957,0.019609721935677754
low_volatility|120d|q10_minus_middle|beta_neutral|r63|ensemble,3,0.03768564579480412,0.034118231023168244,0.04239717078165928,0.0034753371078316726,0.35312194231148597,0.3242030074297692,0.3927579009542726,0.02899522150585622
low_volatility|120d|q10_minus_q1|unconstrained_beta|r1|ensemble,1,-0.14642923397941043,-0.14642923397941043,-0.14642923397941043,0.0,-0.4348254089239732,-0.4348254089239732,-0.4348254089239732,0.0
low_volatility|120d|q10_minus_q1|unconstrained_beta|r5|ensemble,3,-0.13808832689099995,-0.14892226177425827,-0.12005999761416519,0.012834252507242527,-0.3979518394942964,-0.4451928473432554,-0.32632593113985303,0.05149953702978601
low_volatility|120d|q10_minus_q1|unconstrained_beta|r21|ensemble,3,-0.1183489240080019,-0.12765887872448334,-0.10411593835444455,0.010222350855595967,-0.3232068156612841,-0.3672356967607894,-0.2508697899123905,0.05155107085393137
low_volatility|120d|q10_minus_q1|unconstrained_beta|r63|ensemble,3,-0.1093989945468203,-0.12280454452191214,-0.0965930369091621,0.010709199038261301,-0.2515401822620699,-0.290057898618741,-0.21293703015169482,0.03148452066999345
low_volatility|120d|q10_minus_q1|beta_neutral|r1|ensemble,1,0.02986807407145875,0.02986807407145875,0.02986807407145875,0.0,0.2513265006889321,0.2513265006889321,0.2513265006889321,0.0
low_volatility|120d|q10_minus_q1|beta_neutral|r5|ensemble,3,0.03934346029107871,0.035056137456062286,0.046934228335541395,0.005382491580680905,0.3000285363441779,0.278786047155271,0.3390092014337811,0.027600594691978876
low_volatility|120d|q10_minus_q1|beta_neutral|r21|ensemble,3,0.04486568366632852,0.0419305951545943,0.047303068163475404,0.0022213582215079236,0.3271565685288736,0.3131465832889099,0.3434197941056284,0.012461263774857876
low_volatility|120d|q10_minus_q1|beta_neutral|r63|ensemble,3,0.04854639454789574,0.04343597404088473,0.05529305889938252,0.004976986087606503,0.33582003210289796,0.3108069394636903,0.3705732626281583,0.025352923048824104
