factor_key,window,selection_pattern,selection_status,net_annualized_return_10bps,net_sharpe_10bps,alpha_hac_tstat_10bps,alpha_raw_p_value_10bps,regression_beta_10bps,average_estimated_beta_10bps,maximum_drawdown_10bps,annualized_turnover,average_holding_count,maximum_position_weight,net_annualized_return_25bps,phase_annual_return_min,phase_sharpe_min,long_wf_annualized_return,long_wf_sharpe,long_wf_positive_period_rate,short_wf_annualized_return,short_wf_sharpe,short_wf_positive_period_rate,minimum_regime_annualized_return,weakest_regime,pass_positive_net_return,pass_net_sharpe,pass_alpha_tstat,pass_25bps_return,pass_calendar_phases,pass_long_walk_forward,pass_short_walk_forward,pass_market_regimes,alpha_bh_q_value_10bps,pass_alpha_fdr,core_economic_pass,neighbour_support_count,pass_neighbour_support,passed_declared_checks,all_declared_checks_pass,research_status
low_volatility|20d,20,lower_tail,time_unstable_pattern,0.02542999081567987,0.33102969372875163,0.9114646668578754,0.362050594324289,0.05600646357654678,-0.007914574357404565,-0.23065804107802645,9.977838473943185,208.2709080762178,0.04769815562803235,0.010174567674897217,0.00643310886796522,0.11337143682696424,0.01824046758201181,0.24183627617418857,0.6666666666666666,0.0033061723026330814,0.08166986748257307,0.43333333333333335,-0.019344880909513563,correlation_state=high_correlation,True,False,False,True,True,False,False,False,0.47865373047717175,False,False,0,False,3,False,NOT_SUPPORTED
low_volatility|40d,40,lower_tail,time_unstable_pattern,0.035149600412771376,0.41671220670005976,1.3111633785920818,0.18980257198620443,0.05174752019696287,-0.008686114510753113,-0.17474822598174466,8.886920771487208,208.2886869170055,0.051696205476921366,0.021424136459611942,0.03178825873051405,0.38140540789943306,0.02858110102118072,0.3403065201858016,0.6666666666666666,-9.223769064303777e-05,0.04657657125685215,0.43333333333333335,0.007298818571778797,dispersion_state=low_dispersion,True,False,False,True,True,True,False,True,0.47865373047717175,False,False,1,True,6,False,NOT_SUPPORTED
low_volatility|60d,60,lower_tail,rejected_by_multiple_testing,0.04772686781391777,0.5049863940695578,1.6032537429326152,0.10887864453005157,0.0677308365037309,-0.006952902191592472,-0.19783316427561537,8.190769309031007,208.3151558638284,0.048657027108408635,0.034917404781942274,0.0425039771745197,0.45341503867006017,0.04156578395947941,0.4316561896314616,0.8333333333333334,0.024478772705183838,0.2827932802181776,0.5,0.018630643612391536,correlation_state=high_correlation,True,True,False,True,True,True,False,True,0.47865373047717175,False,True,0,False,6,False,ISOLATED_RESULT
low_volatility|90d,90,lower_tail,rejected_by_multiple_testing,0.04601764546110099,0.45587035830151607,1.2451562730959722,0.21307431235862673,0.10194856981024805,-0.006572082755682791,-0.23984324826705072,6.581000286041409,208.2620585186957,0.04860218679357925,0.03573239400722539,0.04063391638113156,0.40161188250045327,0.022265753694353796,0.24372047772557637,0.75,0.02308717341687805,0.2555069291533526,0.4666666666666667,-0.0027602059076727407,correlation_state=high_correlation,True,False,False,True,True,False,False,False,0.47865373047717175,False,False,1,True,4,False,NOT_SUPPORTED
low_volatility|120d,120,lower_tail,rejected_by_multiple_testing,0.037988449520651946,0.3592749226591223,0.7084695253221468,0.47865373047717175,0.14743708152004317,-0.005584723799042929,-0.3221489228563291,5.431358135874048,208.17715060192936,0.04897833031002041,0.029559093649913715,0.034118231023168244,0.3242030074297692,0.011861000582577663,0.15489243667905433,0.6666666666666666,0.016948345215505256,0.19462104774058445,0.5333333333333333,-0.005825819115911382,correlation_state=high_correlation,True,False,False,True,True,False,False,False,0.47865373047717175,False,False,0,False,3,False,NOT_SUPPORTED
low_volatility|180d,180,lower_tail,time_unstable_pattern,0.041925253347398606,0.3857043149367956,0.7895211642456232,0.42980746491520205,0.15502579150064558,-0.004079982390217404,-0.3194135035870159,4.283611574461955,208.0232799170852,0.047318833045355245,0.03524725298399667,0.03977122418036072,0.3686895011750571,0.0169476135415354,0.1909871769957893,0.6666666666666666,0.010574523005553615,0.14591045052757928,0.5333333333333333,-0.0032366748303448625,correlation_state=high_correlation,True,False,False,True,True,False,False,False,0.47865373047717175,False,False,0,False,3,False,NOT_SUPPORTED
low_volatility|252d,252,no_stable_structure,no_stable_structure,0.043988410229987895,0.39711951376371446,0.7958890891381256,0.42609650357471374,0.1674905255830478,0.00150174715380534,-0.3234245765283419,3.572792848008072,207.8186239336682,0.048486103393626544,0.03840501617908276,0.04128566851751292,0.3771087291316416,0.023266759002371185,0.23468293429691833,0.75,0.02247760328398085,0.23342564667148175,0.5333333333333333,0.0010518558478160227,correlation_state=high_correlation,True,False,False,True,True,False,False,True,0.47865373047717175,False,False,0,False,4,False,NOT_SUPPORTED
